src,winner,loser
"В понедельник ученые из Медицинской школы Стэнфордского университета объявили об изобретении нового диагностического инструмента, который может сортировать клетки по их типу; это маленький чип, который можно напечатать, используя стандартный струйный принтер примерно за 1 цент США.","On Monday, researchers at Stanford University's School of Medicine announced the creation of a new diagnostic tool that can sort cells by type; it's a tiny chip that can be printed out using a standard inkjet printer for about a penny.","On Monday, scientists from Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by their type; it's a small chip that can be printed using a standard inkjet printer for about 1 cent USD."
"Ведущие исследователи утверждают, что он может помочь в раннем выявлении рака, туберкулеза, ВИЧ и малярии у пациентов в странах с низким уровнем дохода, где показатели выживаемости при таких болезнях, как рак молочной железы, могут быть в два раза ниже, чем в более богатых странах.","Leading researchers say it could help detect cancer, tuberculosis, HIV and malaria in patients in low-income countries where survival rates for diseases such as breast cancer can be twice as low as in richer countries.","Leading researchers claim that it can help in the early detection of cancer, tuberculosis, HIV, and malaria in patients in low-income countries, where the survival rates for diseases such as breast cancer can be twice as low as in wealthier countries."
Приблизительно в 9:30 по местному времени (02:30 UTC) JAS 39C Gripen упал на взлетно-посадочную полосу и взорвался. Аэропорт пришлось закрыть для коммерческих рейсов.,At around 9:30 local time (02:30 UTC) a JAS 39C Gripen crashed on the runway and exploded. The airport had to be closed for commercial flights.,"At approximately 9:30 local time (02:30 UTC), the JAS 39C Gripen crashed onto the runway and exploded. The airport was closed to commercial flights."
Личность пилота была установлена. Им оказался командир эскадрильи Дилокрит Паттави.,The identity of the pilot was established. It turned out to be the squadron leader Dilokrit Pattavi.,The pilot's identity has been established. It was the squadron commander Dilokrit Pattavin.
"Местные СМИ сообщают, что в аэропорту по пути на вызов перевернулась пожарная машина.",Local media report that a fire truck flipped over on its way to a call at the airport.,Local media reported that a fire truck overturned on its way to the call at the airport.
"28-летний Алеш Видаль перешел в ""Барсу"" из ""Севильи"" три сезона назад.",28-year-old Ales Vidal moved to Barca from Sevilla three seasons ago.,"28-year-old Aleix Vidal moved to ""Barça"" from ""Sevilla"" three seasons ago."
После переезда в столицу Каталонии  Видаль провел за клуб 49 матчей.,"After moving to the capital of Catalonia, Vidal played 49 matches for the club.","After moving to the capital of Catalonia, Vidal played 49 matches for the club."
"Протест начался около 11:00 по местному времени (UTC+1) на улице Уайтхолл напротив охраняемого полицией въезда на Даунинг-стрит, официальную резиденцию премьер-министра.","The protest began at around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the official residence of the prime minister.","The protest began around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the official residence of the Prime Minister."
Сразу после 11:00 протестующие перекрыли движение в северном направлении по Уайтхоллу.,"Immediately after 11am, protesters blocked the northbound lane of Whitehall.","Immediately after 11:00, the protesters blocked the movement in the northbound direction on Whitehall."
"В 11:20 полиция попросила митингующих вернуться на тротуар, заявив, что им необходимо соблюдать баланс между правом протестовать и задержкой дорожного движения.","At 11:20 police asked the protesters to return to the pavement, saying they needed to strike a balance between the right to protest and disruption to traffic.","At 11:20, the police asked the protesters to return to the sidewalk, stating that they needed to balance the right to protest with the delay of traffic."
